,0
2382,54015
2383,71585
2384,80370
2385,89155
2386,106725
2387,115510
2388,124295
2389,133080
2390,141865
2391,150650
2392,159435
2393,168220
2394,177005
2395,185790
2396,203360
2397,212145
2398,220930
2399,229715
2400,238500
2401,247285
2402,256070
2403,264855
2404,273640
2405,282425
2406,299995
2407,308780
2408,317565
2409,326350
2410,335135
2411,343920
2412,352705
2413,361490
2414,370275
2415,379060
2416,396630
2417,405415
2418,414200
2419,422985
2420,431770
2421,440555
2422,449340
2423,458125
2424,466910
2425,484480
2426,493265
2427,502050
2428,510835
2429,519620
2430,528405
2431,537190
2432,545975
2433,554760
2434,563545
2435,581115
2436,589900
2437,598685
2438,607470
2439,616255
2440,625040
2441,642610
2442,1329
2443,97964
2444,194599
2445,291234
2446,387869
2447,475719
2448,572354
2449,633849
2450,668986
2451,10114
2452,18899
2453,27684
2454,36469
2455,45254
2456,54039
2457,71609
2458,80394
2459,89179
2460,106749
2461,115534
2462,124319
2463,133104
2464,141889
2465,150674
2466,159459
2467,168244
2468,177029
2469,185814
2470,203384
2471,212169
2472,220954
2473,229739
2474,238524
2475,247309
2476,256094
2477,264879
2478,273664
2479,282449
2480,300019
2481,308804
2482,317589
2483,326374
2484,335159
2485,343944
2486,352729
2487,361514
2488,370299
2489,379084
2490,396654
2491,405439
2492,414224
2493,423009
2494,431794
2495,440579
2496,449364
2497,458149
2498,466934
2499,484504
2500,493289
